course_id,course_name,region
28,Catterick,GB
29,Newcastle (AW),GB
30,Sedgefield,GB
31,Lingfield (AW),GB
32,Taunton,GB
33,Kempton (AW),GB
34,Wetherby,GB
37,Plumpton,GB
38,Doncaster,GB
39,Exeter,GB
40,Wincanton,GB
41,Warwick,GB
42,Huntingdon,GB
43,Chelmsford (AW),GB
44,Leicester,GB
45,Ayr,GB
46,Cheltenham,GB
47,Hereford,GB
48,Wolverhampton (AW),GB
49,Ludlow,GB
51,Market Rasen,GB
52,Southwell (AW),GB
53,Kelso,GB
55,Sandown,GB
57,Stratford,GB
58,Uttoxeter,GB
61,Towcester,GB
63,Carlisle,GB
102,Newton Abbot,GB
176,Pontefract,GB
189,Newmarket,GB
16193,Chepstow,GB
16194,Fairyhouse,IRE
16195,Hexham,GB
16197,Goodwood,GB
16198,Naas,IRE
16200,Musselburgh,GB
16201,Roscommon,IRE
16203,Punchestown,IRE
16204,Punchestown,""
16205,Nottingham,""
16206,Newcastle Aw,IRE
16208,Bath,GB
16209,Chelmsford Aw,IRE
16210,Thurles,GB
16211,Ohi,GB
16212,Saint Cloud,GB
16213,Tramore,GB
16215,York,GB
16216,Compiegne,GB
16217,Keeneland,GB
16218,Dundalk Aw,IRE
16219,Kempton Aw,IRE
16224,Worcester,GB
16227,Nottingham,GB
16268,Curragh,""
16269,Thurles,""
16270,Brighton,""
16286,Brighton,GB
16287,Chelmsford City,GB
16321,Fakenham,GB
16324,Haydock,GB
16325,Redcar,GB
16334,Thurles,IRE
16337,Ffos Las,GB
16340,Curragh,IRE
16392,Dundalk,IRE
16511,Cork,IRE
16566,Yarmouth,GB
16591,Ascot,GB
16593,Leopardstown,IRE
16595,Limerick,IRE
